Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
Kuai-Shua-Questions,350306878,64032394.0,4638526.0,52620549.82000006,30.238753454947485,10180867.062828062,alive,53.686643518518515,False,2023-09-08T07:31:14Z
Quantumult-X,89996462,4064823.0,297323.0,430090.89999999973,0.5003263998336398,244918.780341338,alive,3.441238425925926,True,2024-03-03T07:00:54Z
road-runner-quickstart,acmerobotics,17714735.0,873624.0,16251371.280000005,12.270346467391304,2756168.9250972983,alive,10.11138888888889,True,2024-03-03T06:56:53Z
lottie-android,airbnb,6212738.0,157247.0,2152106.7599999756,1.7139337619581194,434100.05163116433,alive,1.819988425925926,True,2024-02-27T16:58:11Z
lottie-ios,airbnb,15959705.0,960380.0,2358349.310000001,2.289223113388948,676122.000635413,alive,11.115509259259259,True,2024-02-21T19:39:58Z
qemu_blog,airbus-seclab,24165616.0,13280964.0,23670588.74,51.195906635802466,8593245.095558127,alive,153.7148611111111,False,2023-11-03T11:07:43Z
video-quality,aizvorski,118991936.0,78483197.0,106999434.39999999,154.0364556100218,30333683.87468437,alive,908.3703356481482,False,2023-11-05T18:09:15Z
ace,ajaxorg,9323013.0,135904.0,605532.1599999979,0.5729471711384984,181912.00868286812,alive,1.572962962962963,True,2024-03-01T16:18:37Z
awesome-java,akullpp,9444133.0,303519.0,2946461.5,2.0581838518182023,644698.3067869414,alive,3.512951388888889,True,2024-02-24T10:06:36Z
Alamofire,Alamofire,8360313.0,447125.0,2568626.0000000014,2.094927559659287,556155.8435044163,alive,5.17505787037037,True,2024-03-02T21:18:20Z
QSimpleUpdater,alex-spataru,25583517.0,1578615.0,25107003.68000001,27.920723626938905,5410218.326053352,alive,18.271006944444444,verify,2023-12-18T21:00:33Z
skill-sample-nodejs-quiz-game,alexa-samples,82848861.0,17023593.0,19178270.440000024,15.441516283524903,7341993.02691407,alive,197.0323263888889,False,2023-04-17T23:13:27Z
test-repo,Alexander-MacDonald,2495195.0,31.0,2396272.0,5.829761574074074,1113324.1982002817,alive,0.0003587962962962963,False,2023-11-07T19:47:32Z
dubbo,alibaba,22983438.0,396821.0,434680.2399999999,0.6109643773035388,479380.5658680895,alive,4.5928356481481485,True,2024-03-01T06:20:07Z
QLExpress,alibaba,35595278.0,4571132.0,14267776.50000005,7.221744932813912,2901225.941131306,alive,52.90662037037037,False,2023-09-09T02:14:28Z
AdminLTE,almasaeed2010,33557439.0,1174737.0,1708712.2300000032,1.3892572091228825,951178.5722507407,alive,13.596493055555555,verify,2023-12-17T11:10:04Z
org-ql,alphapapa,15324176.0,574159.0,4960514.020000003,2.513320210074566,1039562.7235520402,alive,6.645358796296296,True,2024-02-22T02:00:39Z
quickbox-lite,amefs,8148720.0,465959.0,4797225.299999995,7.838767149020749,1205540.7879467634,alive,5.3930439814814815,verify,2024-01-12T09:01:11Z
android-interview-questions,amitshekhariitbhu,42773138.0,2542025.0,5273327.500000002,6.252183207417582,2570782.8458883986,alive,29.42158564814815,True,2024-02-26T10:31:00Z
redux-query,amplitude,32912945.0,4691049.0,12589786.240000024,6.162522560502004,2625424.847536433,alive,54.29454861111111,verify,2023-12-12T17:37:50Z
material2,angular,1662882.0,22104.0,301015.6600000007,0.25583947535562784,62033.841628174974,alive,0.25583333333333336,True,2024-02-29T22:00:49Z
ApiV2-GraphQL-Docs,AniList,31726519.0,23505340.0,27780567.240000002,23.55752487760749,5745842.319069059,alive,272.05254629629627,False,2023-02-01T22:44:20Z
redis,antirez,1863002.0,34794.0,425775.04000000074,0.44883518027868896,89511.9819164123,alive,0.40270833333333333,True,2024-03-03T07:20:18Z
InterviewQuestions,anujdevopslearn,9555506.0,2143736.0,9132857.229999995,13.609952819573044,2068202.75469736,alive,24.811759259259258,False,2023-10-07T04:31:04Z
qpid-proton,apache,2923003.0,83306.0,891356.9599999988,0.9122786038216103,182031.5865075956,alive,0.9641898148148148,True,2024-02-26T18:13:55Z
apollo-quick-start,apolloconfig,20501281.0,11400360.0,15797587.799999986,25.476845341435187,3710882.8458197513,alive,131.94861111111112,verify,2023-12-17T09:31:43Z
classroom-queries-debug-v1,appdev-projects,80982283.0,7788514.0,77452031.00000001,183.00810570987656,32172694.815201297,alive,90.14483796296297,False,2023-11-07T22:59:52Z
msm-queries-v1,appdev-projects,50573372.0,7788500.0,47357680.48,82.89910108024691,16632941.723442946,alive,90.14467592592592,False,2023-11-07T23:00:40Z
refactoring-msm-queries-1-v1,appdev-projects,43922103.0,7788457.0,40315959.19999999,93.80357947530864,11075441.765885584,alive,90.14417824074074,False,2023-11-07T23:01:56Z
refactoring-msm-queries-2,appdev-projects,19391200.0,7788453.0,19026535.56,72.86479398148148,6069351.547970404,alive,90.14413194444444,False,2023-11-07T23:02:01Z
swift-evolution,apple,1390085.0,5770.0,524747.6799999999,0.5467318708247487,107834.87241626134,alive,0.0667824074074074,True,2024-03-03T08:40:35Z
git-quick-stats,arzzen,23070138.0,632820.0,11762978.489999931,8.831998098544974,2284593.167936387,alive,7.324305555555555,verify,2024-01-10T07:13:40Z
ava,avajs,5209899.0,734588.0,1901043.480000001,1.626322273021151,376879.1533012035,alive,8.502175925925926,True,2024-02-28T20:54:32Z
awesome-go,avelino,1765918.0,70596.0,648928.8500000003,0.7325897351963457,133912.19898981418,alive,0.8170833333333334,True,2024-03-01T12:55:14Z
quickstart-aws-vpc,aws-quickstart,38804021.0,71664.0,16470551.260000044,14.053160018993353,4226600.069657952,alive,0.8294444444444444,False,2023-10-31T04:05:36Z
quickstart-linux-bastion,aws-quickstart,15988724.0,71662.0,4160484.959999975,3.8932191599151236,1020514.6593260657,alive,0.8294212962962964,False,2023-10-31T04:05:38Z
qnabot-on-aws,aws-solutions,12878654.0,622597.0,1106827.2799999996,0.9386778418331339,397472.2317311164,alive,7.205983796296296,verify,2024-01-04T16:40:41Z
aws-athena-query-federation,awslabs,3609352.0,461077.0,1287642.6999999988,1.3492242552711888,279951.05226903706,alive,5.336539351851852,True,2024-02-29T17:14:49Z
s2n-quic,aws,1548236.0,446362.0,571432.5600000004,0.9348155876041044,139537.25859876082,alive,5.166226851851852,True,2024-02-24T05:24:03Z
azure-search-openai-demo,Azure-Samples,2450426.0,69694.0,697963.0,0.8781319598252737,193000.0007697423,alive,0.8066435185185186,True,2024-03-01T21:32:19Z
msdocs-python-django-webapp-quickstart,Azure-Samples,18399717.0,2862544.0,16161255.280000012,14.31164146090535,3600620.599861863,alive,33.1312962962963,verify,2024-01-08T16:07:39Z
msdocs-python-flask-webapp-quickstart,Azure-Samples,20222244.0,16972696.0,18837582.660000004,26.175028630604285,5270265.931500826,alive,196.44324074074075,verify,2023-12-15T20:52:01Z
BaconQrCode,Bacon,40950485.0,4863406.0,33608382.59999996,21.093701529568243,6162994.331544184,alive,56.2894212962963,False,2023-09-05T17:03:14Z
QtScrcpy,barry-ran,18710904.0,800649.0,3044456.9499999997,2.498743159344807,1046132.5883480706,alive,9.266770833333334,True,2024-02-25T09:56:37Z
trix,basecamp,7775832.0,738836.0,2214986.7199999937,1.192952557237352,438220.0150401503,alive,8.551342592592592,True,2024-02-21T10:29:38Z
ruby-style-guide,bbatsov,7622295.0,244256.0,4240186.120000001,4.420786886874399,879757.6820221485,alive,2.8270370370370372,verify,2024-01-13T10:43:31Z
