Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days)
campus_recruitmen_questions,0voice,1468386.0,68899153.0,5936.599999999991,0.07482689534772868,73483.95405675372,dead,797.4439004629629
linux-insides,0xAX,9252379.0,5226272.0,640366.9499999998,1.654147241350922,551404.1362297925,unknown,60.489259259259256
CompressorQueue,1Danish-00,31220268.0,32941934.0,19001707.5,41.99426136363636,9370872.153386822,unknown,381.27238425925924
developer_quest,2d-inc,6848421.0,122169888.0,86402.89999999998,0.6283623260437375,487803.4636788909,dead,1414.0033333333333
Kuai-Shua-Questions,350306878,64032394.0,4638526.0,7525429.699999995,30.238753454947485,10180867.062828062,alive,53.686643518518515
QingScan,78778443,7278693.0,12067368.0,172069.19999999995,0.8088452428878153,462765.12996869185,unknown,139.66861111111112
Quantumult-X,89996462,4064823.0,297323.0,114895.25,0.5003263998336398,244918.780341338,unknown,3.441238425925926
iOS-Developer-and-Designer-Interview-Questions,9magnets,52066745.0,202473979.0,4493757.799999997,20.48470338070629,8236623.975784693,dead,2343.4488310185184
jQuery,aamirafridi,64920542.0,25886232.0,4911907.699999996,12.88267802807224,5722388.916011164,unknown,299.6091666666667
Leetcode-Questions,AbhishekChourasiya,356.0,123501401.0,356.0,0.004120370370370371,,dead,1429.414363425926
Quiz-App-Flutter,abuanwar072,28052746.0,51827304.0,22938332.75,68.84028935185185,11246196.183668591,unknown,599.8530555555556
node-restful-api-tutorial,academind,126883.0,186837657.0,120851.95,0.7705150462962963,85291.92705350254,dead,2162.4728819444445
road-runner-quickstart,acmerobotics,17714735.0,873624.0,4508302.350000002,12.270346467391304,2756168.9250972983,alive,10.11138888888889
activeadmin,activeadmin,8826271.0,606109.0,249441.69999999975,0.5823228459998778,190628.24320031598,unknown,7.015150462962963
stacks-queues,AdaGold,76878971.0,49016485.0,15478059.2,29.293222067901237,9972821.761363428,unknown,567.3204282407407
QuSimPy,adamisntdead,38543496.0,166963806.0,9299585.399999997,21.108071689113356,6988715.204678048,dead,1932.4514583333332
Columnizer-jQuery-Plugin,adamwulf,74968706.0,80677124.0,8450919.0,26.76564355135277,8544933.635054188,unknown,933.7630092592592
backbone-fundamentals,addyosmani,36341992.0,185787248.0,539477.0,1.6097463775538075,1089816.5917984257,dead,2150.31537037037
QQ,adiew-code,3740076.0,244159957.0,434790.75,1.0581590249888444,375431.79215967667,dead,2825.9254282407405
Daily-Interview-Question,Advanced-Frontend,13667537.0,93912781.0,507841.0,2.6278717537258376,1074077.630131853,dead,1086.9534837962963
qbit,advantageous,17727564.0,182494662.0,192117.75,0.7235599315807649,609441.6668370963,dead,2112.2067361111112
AeroQuad,AeroQuad,100164869.0,224782534.0,338778.0999999999,1.806633730377729,2627781.604726096,dead,2601.649699074074
full-stack-interview-questions,aershov24,42510719.0,68824971.0,15169684.399999972,29.037224099099102,7880456.552549835,unknown,796.5853125
AFNetworking,AFNetworking,65557309.0,24812998.0,392427.9000000002,1.4437371320522017,1372384.75573591,unknown,287.18747685185184
Agora-Flutter-Quickstart,AgoraIO-Community,25747689.0,38869744.0,6846708.0,16.85062195419103,3596425.5901096147,unknown,449.8812962962963
enzyme,airbnb,24109070.0,20023556.0,414674.0,1.3784003950494501,679646.0440501489,unknown,231.75412037037037
javascript,airbnb,9665828.0,6167766.0,763118.1999999988,2.0094986592234108,531699.8111119327,unknown,71.38618055555555
lottie-android,airbnb,6212738.0,157247.0,783679.9999999998,1.7139337619581194,434100.05163116433,alive,1.819988425925926
lottie-ios,airbnb,15959705.0,960380.0,961823.8000000003,2.289223113388948,676122.000635413,alive,11.115509259259259
qemu_blog,airbus-seclab,24165616.0,13280964.0,21690479.699999996,51.195906635802466,8593245.095558127,alive,153.7148611111111
vux,airyland,34570447.0,11114467.0,165330.19999999995,1.0221386854951184,990397.9385823059,unknown,128.63966435185185
video-quality,aizvorski,118991936.0,78483197.0,59029427.99999995,154.0364556100218,30333683.87468437,unknown,908.3703356481482
ace,ajaxorg,9323013.0,135904.0,245585.2999999999,0.5729471711384984,181912.00868286812,alive,1.572962962962963
awesome-java,akullpp,9444133.0,303519.0,914180.5,2.0581838518182023,644698.3067869414,alive,3.512951388888889
Alamofire,Alamofire,8360313.0,447125.0,966993.5,2.094927559659287,556155.8435044163,alive,5.17505787037037
QSimpleUpdater,alex-spataru,25583517.0,1578615.0,15120801.999999983,27.920723626938905,5410218.326053352,alive,18.271006944444444
skill-sample-nodejs-quiz-game,alexa-samples,82848861.0,17023593.0,4290968.799999995,15.441516283524903,7341993.02691407,unknown,197.0323263888889
test-repo,Alexander-MacDonald,2495195.0,31.0,2000579.9999999995,5.829761574074074,1113324.1982002817,alive,0.0003587962962962963
qr-image,alexeyten,51001838.0,164010569.0,11265729.5,32.17945783405955,8571946.835133,dead,1898.270474537037
WikiQuiz,alexgreene,97906508.0,103948453.0,2747686.2999999984,29.130383290267012,14913659.314186767,unknown,1203.1070949074074
